session,candidate_name,matched_text,similarity,context,cue_start
salon-057,Patrick Lichty,Patrick,0.67,meaning up as well as.  So so thank you for sharing I think Patrick has his hand up do you Patrick on purpose.  I said I mean w,1515
salon-057,Patrick Lichty,Patrick,0.67,we're running out of time so thank you yeah no problem. Oh. Patrick can you can you wait I think Carla wanted to present someth,2160
salon-057,Richard E,Richards,0.82,ay and that was really.  Crazy and then also was it Michael Richards who was in the.  Residency he didn't get out.  He just did ,3590
salon-059,Chanee Choi,can hold,0.63,em because we need to be able to know what's going on so we can hold them accountable and I think that we should be vocal and bu,705
salon-059,Patrick Lichty,Patrick,0.67,ealing with the Leon 5B you know database I understand that Patrick and that's still very theoretical but it still doesn't it s,1350
salon-059,Patrick Lichty,Patrick,0.67,it now more to kind of polish beautiful images you know and Patrick and I both started and Anne and a bunch of people started w,2865
salon-059,ScoJo,solo,0.67,ve had an avatar that I've been working with we've done two solo shows together we've done multiple she has her own Zoom acc,2865
salon-059,Chanee Choi,can copy,0.63, a lot of struggles and worried about the point how much AI can copy their work so I I couldn't just avoid their idea because th,4434
salon-060,Michael Strevens,Michael Reese,0.83, it's not in at all no it's actually a bigger shot with the Michael Reese am I saying the same correctly you know the sculptural righ,1737
salon-060,Giovanna Sun,Giovanna,0.8,ll a couple people together and do a physical show you know Giovanna did that with the Brooklyn show and that happened really qu,1737
salon-060,Gregory Little,Greg Little,0.88,on VR I know Patrick is is fairly involved with VR stuff to Greg Little but I think it would be really interesting to organize like,1737
salon-061,Michael Farmer,Michael Warner,0.86,artist up is. Michael.  That's me yeah Michael or the other Michael Warner.,414
salon-061,Michael Warner,Michael,0.67,ute myself thank you and if you've had anyone that's shared Michael if you could if you're able to lower your hand also that wo,1270
salon-061,Tommy Mintz,to paint,0.63,k you here I took it in to another area where I was allowed to paint an eye colorama and bring those shapes in and he is just mo,2761
salon-062,Richard E,Richard,0.88, a lot of them just everyone know the Instagram pieces that Richard did so originally started out in Time Magazine ripping out ,134
salon-062,Richard E,Richard,0.88,d the rasta paintings and this artist Patrick carryou. Sued Richard he won the first round he lost the second round but I've be,2235
salon-062,Richard E,Richard,0.88,on of transformation the other transformation argument that Richard was making was you're taking a digital image from a telepho,3950
salon-063,Michael Farmer,Michael after,0.81, Colin Goldberg are there any people who'd like to present. Michael after Colin thank you and I guess that will probably take us an h,5.51
salon-063,Marlow Shami,mayor Shapiro,0.64, important essay and this is what I wanted to talk about by mayor Shapiro in the effort to apply semiotics and the idea of of signs a,511
salon-063,Susan Huang,Susan shutan,0.87,o you're around is really important another friend of mine. Susan shutan makes shaped they're not the one on the right it's not actu,511
salon-063,Michael Rees,Michael refined,0.81, that pervade the natural world he came up with over 80 and Michael refined that list to 53.. A lot of these senses are things that we ,1023
salon-063,Carla Gannis,Carla ganis's,0.88, will be and to obtain all the information you simply go to Carla ganis's. Instagram page and she came to a couple of our meetings sh,4107
salon-064,Chalda Maloff,Chalda,0.63,le layer idea so thank you. Yeah. Thank you. Awesome. Okay. Chalda is next.,679
salon-064,Tommy Mintz,to paint,0.63,cape but. He never painted that exact landscape never tried to paint it the exact way he saw it he always interpreted it in a ve,2835
salon-065,Tommy Mintz,to mind,0.67,ll right but I will share.  I think about war and it brings to mind my participation in the early 70s and the protests against ,2707
salon-066,Giovanna Sun,Giovanna,0.8,ago I kind of came into nfts and that's how I met Colin and Giovanna and a few people on this you know on on this zoom and what ,1230
salon-066,Sherry Karver,Sherry,0.63,You. All right Sherry hi everybody I wasn't even planning and sharing but in hear,2409
salon-066,Anne Spalter,And spalter,0.87,sold entire collections. Yes I want to say what's her name. And spalter yes and Jesus Christ and is making probably several killing,4733
salon-069,Chalda Maloff,called Major,0.64,pulated it in procreate. This other one has a spatial theme called Major Tom to Ground Control this is a photograph of a shingle on ,1702
salon-069,Patrick Lichty,Patrick,0.67, want to share. If you want to raise your hand oh good pets Patrick is here as well and just wants to show you okay so Lee you',2759
salon-069,Tommy Mintz,to mind,0.67,indeed hidden but let me do something that would bring this to mind historically in a way that's meaningful from a photographic,4714
salon-071,Eva Davidova,Eva David,0.86, New York both of them have like liked expressionist stuff. Eva David zwerner which I was very surprised about and pleased with s,5.99
salon-071,Anne Spalter,and spaulter,0.83,ordon Patrick lichty DJ Spooky Steve Miller Joseph mcvittal and spaulter and Sasha Stiles. And if anyone else in here has any books ,4187
salon-072,Ann Shapiro,and Sahar,0.7,ut further Ado I'd like to pass the stage to Sahar Moussavi and Sahar welcome and take it away I.,2.15
salon-072,Ann Shapiro,an air,0.71,isasters but environmental catastrophes as well such as see an air pollution.  Deforestation. Desert. Desertification. And. Wa,149
salon-072,Stephen Pare,screen share,0.67,age please yes I'm gonna lower my hand hi I'm going to do a screen share.  Are you seeing my yeah okay. So I'm. Okay.  Here we go I',3187
salon-072,Stephen Paré,Stephen Pare,0.92,on't have to share it all you could just join. So. Stephen. Stephen Pare is that right am I yeah it's paray thank you all right I ap,3981
salon-072,Stephen Paré,Stephen Pare,0.92,ick I. So you just let us know where you're zooming in from Stephen Pare if you don't mind not at all I'm in Houston Texas. Under a ,5035
salon-073,Lee Schnaiberg,Lee schneiberg's,0.87,e a minute left. Also. Today we're going to experiment with Lee schneiberg's suggestion that at the end of each presentation you can unm,33
salon-073,Tommy Mintz,two minutes,0.64, maybe somebody else can go first and then I'll be ready in two minutes. All right is there anyone else who wants to share.,1589
salon-073,Michael Pointer,Michael one,0.85,s a Thursday at 12 noon Eastern Time.  Thank you Renata and Michael one other thing I wanted to mention is. Art on the internet AOL,2889
salon-074,Anton MCHX,Anton,0.67,e Points so I have five artists at the moment starting with Anton in Russia who's joining us for the very first time welcome.,7.67
salon-074,Michael Rees,Michael Lee,0.87,ve you the names of the five topics they'll be explained by Michael Lee. After I finish. So the first would be tutorials the second,7.67
salon-074,Anton MCHX,Anton,0.67,st I'd like to introduce myself a little bit I'm my name is Anton I'm a digital artist I was born in Kazakhstan. I was living,413
salon-074,Giovanna Sun,Giovanna son,0.92,24 show in the summer that I'm working with. Sudden gently. Giovanna son. Co-curating already wow wow. I like the idea like that one,413
salon-074,M.Romeo - Night Shining,Mike Romeo Knight shining,0.83, work that I'm planning on asking to be on the show this is Mike Romeo Knight shining eat a sculpture I'd like to have some physical pieces I kno,2299
salon-074,Seungjin Lee,sanjin Lee,0.82,y nice walls. Really so I'm working with sung Jin here I am sanjin Lee who runs the digiana studio. Oh here's an elevated view. In,2299
salon-074,Anton MCHX,Anton,0.67,st want to say it was great to see both Moritz from Germany Anton from Russia and some Canadian artists as well Deanne. Jan f,4941
salon-075,Patrick Lichty,Patrick licky,0.89,erview with Helen Harrison of the pollic house recently and Patrick licky sort of came up with this idea of TCH expressionism being c,1198
salon-075,Beth Giacummo,Beth gumo,0.82,e put out for her on Instagram and Facebook as well is that Beth gumo that's still the point person there so she's a really good ,1198
salon-076,David Mew,did me,0.8,Hey.  So Apple did me a big favor when they put out iOS. 17. I've been in the hab,1576
salon-076,Patrick Lichty,Patrick liy,0.88,fairly recent because of the depth I remember some time ago Patrick liy was doing an awful lot of these and he said he was doing th,1858
salon-086,Renata Janiszewska,rata yanisha,0.67,irst day of classes today for Kingsboro college and and I'm rata yanisha coming to you from lion's head in. Canada Tommy curated the,9.03
salon-086,Andy Thomas,and tomao,0.8,e finally.  My sculpture that was in the show this is tomao and tomao is an inflatable sculpture and I'm interested in working I',1364
salon-086,Mary Ann Strandell,Mary and strand,0.85,lor as a formative you know generative. Object if you will. Mary and strand. D's. Lenticular image which I'm not sure if you're going t,1770
salon-086,Moritz Albrecht,Moritz alre,0.85,ancine levenson is underneath Roy Nicholson there and above Moritz alre work here. Right once again we have the texture think about,1770
salon-086,Michael Rees,Michael Reese's,0.89,rientation there's our tomao right up front and we do have. Michael Reese's sculpture here up front. And a front table with that's Carl,1770
salon-086,Carter Hodgkin,Carter hodskins,0.9,'t think what's Carter's last thank you thank you thank you Carter hodskins on it as well thank you it's been a long day already we hav,1770
salon-086,Seungjin Lee,Sunin Le,0.8,h happens to be the second largest piece in the show after. Sunin Le can I get this all in the frame 13 foot by 13 put. Digital ,1770
salon-086,Ann Shapiro,And Shapiro,0.91,. Photographic glitching with his iPhone brushing painting. And Shapiro. Lee.  Day has a once again an interpretation of a landscap,1770
salon-086,Francene Levinson,Francine levenson,0.88, really enjoyed how those two Works paired with one another Francine levenson is underneath Roy Nicholson there and above Moritz alre wor,1770
salon-086,Stephen Paré,Steven par,0.82,rto Rican artists.  Yes yes and and then we have a print by Steven par. Above work. By. What do we have here we have Lee Musgrave ,1770
salon-086,Meltdownlove,meltdown,0.8,ller and ra I'm sorry Oz van Rosen. And.  It's like we have meltdown love and Colin you're gonna have to help me with some of th,1770
salon-086,Ben Red,be read,0.86,d working on some images that might might have been able to be read but I I decided against that I wanted the the scroll to be ,3895
salon-086,Oz Van Rosen,oan Rosen,0.86,hat's DJ Spooky with George Orwell looking over it and then oan Rosen and Rada sort of flanking the piece there. And there is an ,4798
salon-086,Ben Red,been re,0.86,cknowledge you all unfortunately we're out of time and it's been re really my deepest thanks go to Tommy and to his fellow cura,5963
salon-091,David Mew,David M,0.88,as a very much of historic show and that had Frank Dietrich David M. Had a great impact on me and I watched went to to see a le,2231
salon-091,Simone Gad,since grad,0.8, late mid to late. 1980s and in the 1980s. As I'd been like since grad school work I worked with ornament and Architectural. Image,3077
salon-091,Karen LaFleur,Karen laflor,0.88,his weekend rata. It's a two-person show with Rady anfa and Karen laflor. Which you know is an incredible. Piece of video art and th,3980
interview-001,Ann Shapiro,and shapiro,0.91,y two painting professors. So i had two professors ippolito and shapiro and i remember shapiro telling us you know it's great to be,187.52
interview-001,Gregory Little,greg little,0.88, digital over printing and i also studied under a guy named greg little who was he he was studied painting at yale really interesti,1279.84
interview-002,Anne Spalter,at annspalter.com,0.69,on among others her artwork is available for viewing online at annspalter.com. And with that we'll get started. So welcome man thanks for,4.31
interview-002,Anne Spalter,a paper,0.63,of going to some kind of college where i never had to write a paper ever again seemed just absolutely fantastic to me and that',187.12
interview-002,Anne Spalter,and water,0.67,ng for decades so these things like lighthouses and spheres and water and airplanes. So they have this sort of symbolic personal ,552.08
interview-002,Anne Spalter,and scale,0.67,lity the ability to undo things and save different versions and scale things so many things that now we take for granted using th,926.32
interview-002,Anne Spalter,a super,0.63,lly interesting to see so. Yeah that's that's really that's a super rare and then another site called viv 3 the iv3.com. Is tha,2195.6
interview-005,Anne Spalter,ann smalter,0.87,jumped as a result as well you know i know i was talking to ann smalter about that recently and she's on a bunch of these different,4369.84
interview-006,Patrick Lichty,patrick,0.67,ntly and and then i know that you're under a time restraint patrick you want to pull up some images on the screen and talk abou,2005.04
interview-006,Anne Spalter,ann spalder,0.87, platform. Project and you know this is also something that ann spalder is working with and Carla Gannis and and so the thing is is,2921.44
interview-006,Patrick Lichty,patrick,0.67,agination of some people. I agree. All right well thank you patrick you know it's been a great a great conversation yeah thanks,3469.84
interview-007,Andy Wauman,any human,0.8,o become integrated. So science and math has its voibles as any human endeavor a new areas that break new ground. Take a while to,2917.44
interview-008,Ben Red,be fried,0.8,nd and the potatoes here had too high of a water content to be fried commercially for mcdonald's so this potato kind of potato t,553.92
interview-010,Brandon Gellis,brown lines,0.64,s of people were taken and were. Murdered and so all of the brown lines on here are houses that were taken and all of these open sp,2787.92
interview-011,Gregory Little,greg little,0.88,to have big art careers but nonetheless were you there when greg little was there yeah actually no great greg was before me but i k,184.08
interview-011,Reed Hearne,read here,0.8,sensed that it's the next. You know title that i'm going to read here. Let's see. Let's yeah i'm not dumpsters and clowns. Okay i,1104.4
interview-011,Gregory Little,greg little,0.88, like the desktop level mac 3d stuff. You know and you know greg little was somebody that was really into this stuff really early w,1472.88
interview-011,Carla Gannis,carl aganis,0.87,ppenheimer tamiko thiel gardens of the anthropocene and and carl aganis did a comedy routine with the inflatable boy that was very ,3896.8
interview-012,Patrick Lichty,patrick,0.67,prix but yeah i didn't do that but yeah it was not a choice patrick there was nothing. Epiphanous about it it was all right it',189.6
interview-013,Oliver Peterson,older person,0.81,fied so in 2015 or 16 i decided to go back to school. As an older person with lots of little people.  So that was that was fun and i,189.27
interview-013,Lee Day,like day,0.8,erences but i do really like i also like mexican culture so like day of the dead and you know catholicism and and things like th,928.88
interview-014,Francis Mariano,francisco asian,0.8,ing in san francisco was. A boon to that because of the san francisco asian art museum and. Just the incredible mix of people from all ,187.44
interview-016,Gregory Little,greg little,0.88, one of the artists who presented. An artist by the name of greg little who's one of my graduate advisors mentioned that he was act,548.32
interview-016,Christine Sciulli,christine chile,0.81,volved in is so you know like we were introduced through by christine chile who's one of the artists that's going to be in the involved,1101.84
interview-016,Deb Lutz,de luz,0.86,t inform our work but mostly i have to admit paul berlio je de luz. And of course felix waltalvi who wrote a series of works c,1284.64
interview-021,Patrick Lichty,patrick right,0.81,ronicities and i think i it was fascinating to to bump into patrick right before we started our session because i know i met patrick ,185.44
interview-021,Gregory Little,greg little,0.88,ually at bowling green out in ohio and we both studied with greg little. Over there and did our mfas and computer art together it w,185.44
interview-021,Oz Van Rosen,osvan rosen,0.87,our first salon it was like me him steve miller. This woman osvan rosen who kind of was the first person that she used the term exp,367.04
interview-021,Victor Acevedo,vector based,0.69,now old digital drawings from you know 99 to 2004 that were vector based and then. Animating them and adding audio and kind of bring,4406.56
interview-024,Michael Farmer,michael chamber,0.83,h three other people. Marco vasi. Let's see louis jaffe and michael chamber they should all get credit well after one year of me being ,1090.96
interview-025,Verneda Lights,very bright,0.64,ou know so The Techspressionist Community I find them to be very bright very very smart people. With the a wide variety of experien,2007.6
interview-025,Andy Wauman,any human,0.8,. Accountable. To be accurate and able to create a face for any human being regardless of your ethnicity you know they should be ,3669.18
interview-026,Christina Galbiati,Christina albu,0.81,ormances concurrently with brainwave drawings. And to quote Christina albu. Just as sobel's video performances involve a gestural dial,2567.93
presentation-001,Ann Shapiro,and show,0.63," So, I'm going to take a picture actually that I've grabbed and show you the kind of work that I might do with it. So, this glit",1324
presentation-002,Andy Wauman,and human,0.8,"'m an artist who uses technology to explore ideas, culture, and human connection. In my practice, generative AI is not a shortcut",712
presentation-002,Verneda Lights,Verneda,0.67,sically he do need temperature. Yeah. Great. Okay. I have a Verneda I have another question for you and this is I'd like to kno,1593
presentation-004,Mark Klink,mark like,0.84,"he spirit of the abstract expressionists.  So, say I make a mark like that, and then I use these 3D tools in Adobe Illustrator th",1816
presentation-004,Mark Walker,mark like,0.8,"he spirit of the abstract expressionists.  So, say I make a mark like that, and then I use these 3D tools in Adobe Illustrator th",1816
presentation-006,Reed Hearne,read here,0.8," I needed. I'm not going to go over everything that you can read here, but basically, you know, my my continued schooling. Was he",0
presentation-007,Stephen Paré,street art,0.64,s is the augmented layer. A lot of this stuff starts off as street art and becomes canvases in the studio. New York is a mythical ,967
presentation-008,Ben Red,be read,0.86,"age file. Unfortunately, the Reality Studio IVR file cannot be read by current browsers. So this project now exists only in doc",0
roundtable-001,Michael Strevens,Michael Reese,0.83,Paul D. Miller aka DJ Spooky Steve Miller Joseph neck fatal Michael Reese Christine shulley Nina Sobel and spalter and Nina yankowicz,198.44
roundtable-001,Christine Sciulli,Christine shulley,0.82,r aka DJ Spooky Steve Miller Joseph neck fatal Michael Rees Christine shulley Nina Sobel and spalter and Nina yankowicz.,198.44
roundtable-001,Anne Spalter,and spaulter,0.83, actually differs quite a bit from the one you. Quoted from and spaulter whose work I really deeply admire and she's a great colleag,752.04
roundtable-001,Michael Strevens,Michael Reeves,0.87,'re seeing so different media so in the center here we have Michael Reeves augmented reality work relating to sculptural work and then,932.7
roundtable-001,Michael Rees,Michael Reese's,0.89,atus you know how do they they interact with the real world Michael Reese's work is a perfect example of that and I would not say that ,1662.0
roundtable-002,TinTin23x,Tintin,0.8,ding this mirror picture you're repeated use of of you know Tintin. In you know catching the vase you know in repeated fashion,945.12
roundtable-003,Cynthia Beth Rubin,Cynthia well learning,0.67,hat that that's really that's that's so cool to.  Hear yeah Cynthia well learning about different kinds of graphing we just think oh you grap,1842.56
roundtable-004,Steve Miller,see later,0.67,edical checkup by x-ray in the Flora and Fauna which you'll see later so one of the you know what happens in this you know leveli,375.96
presentation-001,Ann Shapiro,and show,0.63," So, I'm going to take a picture actually that I've grabbed and show you the kind of work that I might do with it. So, this glit",1324.84
presentation-001,Discussion,disruption,0.7,e particularly a technique called glitching. glitching is a disruption of an image. So I start with photographs. I use photographs,1324.84
presentation-001,Ann Shapiro,and share,0.7,"rtant. But the great thing about when you make an art world and share it with the world, I mean an art piece is that it speaks in",2565.48
presentation-001,Ann Shapiro,a happier,0.7,We all work differently. That's that's what makes the world a happier place when it can be. Yeah. So any more questions? I'm curi,3307.96
presentation-002,Discussion,depiction,0.63,all folk art. And I hope that you find it to be an accurate depiction of the textiles and people of your culture. And here you ca,719.04
presentation-002,Andy Wauman,and human,0.8,"'m an artist who uses technology to explore ideas, culture, and human connection. In my practice, generative AI is not a shortcut",719.04
presentation-002,Verneda Lights,Verneda,0.67,don't have much time but a quick question. We'll start with Verneda and I'd like to know more about how you began your journey ,1623.04
presentation-002,Verneda Lights,Verneda,0.67,sically he do need temperature. Yeah. Great. Okay. I have a Verneda I have another question for you and this is I'd like to kno,2179.12
presentation-003,Discussion,direction,0.63," off. Well, and It changes one's life or you know creates a direction for one's life. Yeah. I was you know going going a slightly",1624.24
presentation-004,Discussion,distinction,0.67,", maybe techspressionist in spirit, you know, but there's a distinction there.  And I think a big reason that I came up with this t",2367.04
presentation-004,Mark Klink,mark like,0.84,"he spirit of the abstract expressionists.  So, say I make a mark like that, and then I use these 3D tools in Adobe Illustrator th",2551.36
presentation-004,Mark Walker,mark like,0.8,"he spirit of the abstract expressionists.  So, say I make a mark like that, and then I use these 3D tools in Adobe Illustrator th",2551.36
presentation-004,Cynthia DiDonato,Cynthia's point,0.71,ne of the earliest to do a website. I did early HTML and to Cynthia's point like you can't do everything. So now I work with a young co,3096.72
presentation-006,Reed Hearne,read here,0.8," I needed. I'm not going to go over everything that you can read here, but basically, you know, my my continued schooling. Was he",188.12
presentation-007,Discussion,depiction,0.63,So in many ways House on the Water as the installation is a depiction of our journey from throughout our time in migrating around,222.24
presentation-007,Stephen Paré,street art,0.64,s is the augmented layer. A lot of this stuff starts off as street art and becomes canvases in the studio. New York is a mythical ,974.56
presentation-008,Ben Red,be read,0.86,"age file. Unfortunately, the Reality Studio IVR file cannot be read by current browsers. So this project now exists only in doc",917.2
salon-008,Malavika Mandal Andrew,malavika i'm an,0.7, Okay so i'll try one more time thank.  You.  So my name is malavika i'm an artist and my main education is in textile designing i did ,1912.32
salon-008,Emily B. Schilling,emily bruton-schilling,0.8, in here emily would you like to present.  Hi everybody i'm emily bruton-schilling and i'm here from new york city and very excited to be here,2336.16
salon-008,Anne Spalter,an alter,0.8,ke collaboratively that if there's a space that you know if an alter an alternate space other than coons matrix for all of the f,2876.08
salon-009,Carmen Moses,can see,0.63,'s based on a haruki murakami novel and if you go in it you can see i'm in photoshop all the layers in this and you can see thi,240.47
salon-009,Patrick Lichty,patrick,0.67,e might want to move on to the next presentation so i think patrick just showed up and he was supposed to be number two in our ,1015.04
salon-009,Carmen Moses,can see,0.63, how to say it enjoying life or. A bit of borjasi there you can see here you can see prosecco and like prosecco pattern. Then w,1015.04
salon-009,Leslie Kell,leslie,0.71,er i believe is going to be. Where are you.  I just saw you leslie i believe you were the next supposed to be the next present,1455.67
salon-009,Carmen Moses,can see,0.63,ff of the theoretical framework of kandinsky's work and you can see it's pretty derivative this is 1993 1994 done on a 286.. Bu,1455.67
salon-009,Roman Verostko,roman vorosco,0.81, that really split is that when i started working with what roman vorosco an artist inven in minneapolis would call algorithm in othe,1455.67
salon-009,Carmen Moses,carmen,0.67,No i think everyone just kind of showed up so i mean i know carmen was here early carmen if you want to go by all means [Music,2370.88
salon-009,Patrick Lichty,patrick,0.67,d for the exhibition. So that's one thing and then you know patrick is going to be co-curating the show with me so we still hav,2938.32
salon-009,Leslie Kell,like well,0.7, so i kind of you know spent a lot of time in bed it's just like well you know i still want to create so i actually started doing,2938.32
salon-009,Brandon S Gellis,brandon gallis,0.87,hank you gregory.  All right moving down the list we've got brandon gallis hi yes thank you and thanks for not butchering my last name,2938.32
salon-009,Anne Spalter,and spalter,0.87,nter and one of the board members said you know this person and spalter have you heard of her and i hadn't at the time and she said,2938.32
salon-010,Anne Morgan Spalter,and michael spalter,0.68,utiful work and the traditional art world really hated them and michael spalter who is a did an art history major at brown said wow this is,204.48
salon-010,Brandon Gellis,brandon,0.67, world i could think about that or you know.  Who said that brandon hi well then maybe you should be my collaborator. All right,927.76
salon-011,Steve Miller,some smaller,0.67,y're 21 inches long. And i think they're 19 by 21. i i have some smaller scale ones that are 12 by 21.. I basically decided to work ,2610.64
salon-011,Randi Matushevitz,randy matashevitz,0.88, randy so hold on good to see you. Still there randy hi i'm randy matashevitz. I'm very new to the group but this is my second meeting. I,4106.08
salon-011,Matej Vakula,mate bakula,0.87,d on all right there we go. I hope it works now my name. Is mate bakula i'm an artist and also i i'm finishing now my phd at rensse,4106.08
salon-012,Verneda Lights,vernetta lights,0.9, they surrounded in plastic for protection i think that was vernetta lights right and so the real world correlate i can you can you be ,1562.64
salon-012,Colin Goldberg,colin's going,0.67, chat i'm going to be here for a bit after. I don't know if colin's going to be here for a bit after too or if he has to go but i'll ,5751.83
salon-013,Michael Pierre Price,michael pierce,0.82, of you younger ones coming in here now it's something that michael pierce and i talked about pierre price have talked about as well b,2595.76
salon-013,Michael Pointer,michael pierce,0.83, of you younger ones coming in here now it's something that michael pierce and i talked about pierre price have talked about as well b,2595.76
salon-013,Leila Pinto,lead into,0.8,se you'd call it and the aesthetics from a few pieces would lead into each other so yeah it does in a way yeah but okay i was jus,2595.76
salon-013,Giovanna Sun,giovanna,0.8, have different periods of work. Yeah i see a question from giovanna and that's a good question too about she said i have an nft,2595.76
salon-014,Sherry Karver,sherry,0.63, going to close that out thank you so much sarah. Wow susan sherry and deanne thank you so much for your presentations it was ,2525.04
salon-014,Deann S Hasinoff,Deann Stein Hasinoff,0.89,ing to share my screen.  Here.  So as davos said my name is Deann Stein Hasinoff and i'm coming to you today from edmonton alberta canada. W,2525.04
salon-014,Sue Beyer,sue buyer,0.89,hundred pieces after you paid the initial gas fee thanks to sue buyer she actually let let us know about that you know so i jumpe,2525.04
salon-014,Andrea Bonaceto,andrea bonaccito,0.9,t about it next next time we have i believe it's so we have andrea bonaccito.  Yeah yeah so lineup andrea actually if you guys hadn't he,2525.04
salon-015,Anne Spalter,ann svalter,0.87,recently talking with people a little bit i remember asking ann svalter about this with working with ai and and recently listening ,1962.16
salon-015,Brandon S Gellis,brandon gillis,0.87,oing to be passing the torch of the exhibition installer to brandon gillis for that. That particular installation of the this project ,7957.6
salon-015,Michael Strevens,michael reese,0.83,k so within the next couple of days i'm going to be posting michael reese the interview that i did with him last week which is a real,7957.6
salon-016,Gary Hopkins,gary thanks,0.7,ome more work cause filling me up son but always a pleasure gary thanks thank you. Gary i really like the. Seeing the evolution of ,1338.4
salon-016,Colman Jones,column one,0.82,know i think that's i think it's perfectly fine. One of the column one of the i was watching a a youtube video the other day it wa,3461.2
salon-016,Gregory Little,greg little,0.88,at you know like patrick just. Did his first interview with greg little who is our graduate advisor and you know i would encourage ,3461.2
salon-017,Michael Pointer,michael,0.64,the last question for michael is coming from clive. Yeah hi michael i really love your work great thanks hi. Back [Laughter]. T,210.08
salon-017,Tommy Mintz,tommy mintz's,0.92,imonial about the the value of this is recently. Like i saw tommy mintz's work that he showed with his photography. And the. What he ,210.08
salon-018,Uli Ap,uli,0.67,en. Okay and i guess we'll take two more questions and then uli can definitely get on with our presentation so i know she's,406.84
salon-018,Gregory Little,greg little,0.88,st for the next salon which is going to be on june 8th it's greg little who was at bowling green state university he's in in the zo,2965.68
salon-020,Victor Acevedo,vector based,0.69, artworks which ran on the pc and it was a two and a half d vector based. System this is an early version of that so you've got your,373.84
salon-020,Christine Sciulli,christine,0.69,it but she jumped into a show that i did and she said to me christine i want you to do a video installation for my next show and ,3535.84
salon-020,Michael Pointer,michael another,0.8,n thousand women thank you.  Oh and we have a question from michael another question like had one chat but he also has something to say,3535.84
salon-020,Gregory Little,greg little,0.88,n those giant installations but no one can do it. Nice. And greg little wants to know is are your animations looping. They're loopi,3535.84
salon-021,Clayton Campbell,Colin campbell,0.8,fluenced by norman mclaren who is a canadian filmmaker was. Colin campbell who was a canadian video artist. And jan swinburne and cliv,3901.11
salon-023,Cynthia Beth Rubin,cynthia rubin,0.84,at. From earlier. Which we've kind of already answered from cynthia rubin but she wants to know do you need a gaming interface to use,290.16
salon-024,John Zieman,john lean,0.8,ll the way back to the iphone 4 and and there's a filmmaker john lean and there's a couple of photographers everybody's got their,3166.08
salon-025,Brandon S Gellis,brandon gallus,0.8,alavika and ryan henderson and then we have a negin and and brandon gallus or jealous ellis i think ellis. Yep and then darcy who just,3303.11
salon-025,Carolina Ramonde,caro ramonde,0.86,nother pairing and then michael pointer is also paired with caro ramonde so there's six pairs all together and each pairing produced,3303.11
salon-025,Carolina Ramonde,carl ramonde,0.86, wilson who's in la she did the primary bulk of it but also carl ramonde also was a consultant for me and i appreciate her work and ,5403.11
salon-025,David Mew,david m,0.88,re active in the 1980s in digital art which includes myself david m koko khan and michael wright and in in a context of a organ,5403.11
salon-028,Ben Red,be ruled,0.8,ant to do different things i just break out i don't like to be ruled too much by too many strict rules but i do start out with t,1995.76
salon-030,RnD Team,red team,0.88,is painting and then it was actually a very like orange and red team based artwork and then last minute i added color correction,2723.27
salon-030,Giovanna Sun,Giovanna,0.8,t not be seeing the chat this is true. Quick quick rundown. Giovanna has a showcase for specialism at the williamsburg hotel in ,2723.27
salon-031,Cynthia Beth Rubin,cynthia rubin,0.84,ly absolutely thank you so much. Oh we have a question from cynthia rubin you know so i just wanted to jump on that what i wrote in t,455.04
salon-031,Giovanna Sun,giovanna stuff,0.85,lly only have 30 minutes left and i know we need to get the giovanna stuff but i'll try to get through these really quick. Try to high,455.04
salon-032,Ben Red,be fired,0.8,ital. The guns often want to be in check they don't want to be fired i feel when i'm doing them there's some sort of wrestling m,348.08
salon-032,LoVid,love,0.67, i tend to look at it and it reminds me. Of this feeling of love and happiness.  And the second piece when i started in 2017,4038.07
salon-033,LINDSAY KOKOSKA,lindsay,0.64,r presentation it was great.  All right and next up we have lindsay are you still here.,160.16
salon-033,David Cohen,david chung,0.82,hellers who's the director of the detroit institute of arts david chung who is the director of the university of michigan's master ,160.16
salon-033,LINDSAY KOKOSKA,lindsay,0.64,. Got some extra time now so if there are any questions for lindsay now it'd be a great time to ask them either in the chat and,1868.87
salon-034,Michael Farmer,michael earlier,0.83,ions today has been about nfts and our. Nfts in art. I know michael earlier you had you said you had something that you were potentiall,131.83
salon-034,Giovanna Sun,giovanna's son,0.85,out the how did you find out about the salon. I am i follow giovanna's son on clubhouse and we've been in a few rooms together and i s,131.83
salon-034,Michael Roller,michael earlier,0.83,ions today has been about nfts and our. Nfts in art. I know michael earlier you had you said you had something that you were potentiall,131.83
salon-035,Prïnce Magnølïa,Prince magnolia,0.8,hank you.  All right well i guess we can move on to st and. Prince magnolia.  And if you guys both want to go on together or whatever y,85.6
salon-036,Lee Day,Like day,0.8, canvas. And later i took a photo and scanning the digital. Like day of digital data. And then. I like randomly like program lik,129.04
salon-037,PATRICK LICHTY,patrick,0.67,ell my cake is pretty baked.  Okay thanks great.  All right patrick i know we're at 705 so we're a couple of minutes over over ,1868.0
salon-056,Marlow Shami,Marlow,0.67,ting variety of work there that you shared.  And let's see. Marlow is up next.  Hi everyone I have a very short keynote I'm go,1102.2
salon-056,Tommy Mintz,to paint,0.63, do it I I get exhausted within two hours I used to be able to paint all day right into the nighttime I'd often not even sleep j,1864.37
