count,matched_text,candidate_name,similarity,session_count,sessions,likely_noise,example_context
2,diana diavila,Diana de Avila,0.89,1,salon-037,, to go all right do you have the floor thank you my name is diana diavila can you see this first of all give me a yep okay great i'm 
2,Karen lefur,Karen LaFleur,0.83,1,salon-043,, great to see you Cynthia Beth rubben all right Vern lights Karen lefur r janusa Darcy garbage nein estaban Neen I should know that
2,and stomas,Andy Thomas,0.86,1,salon-046,,ot nine piece work and it also has incisions and sutures as and stomas as he has he is currently recovering from throat cancer and
2,susan has,Susan Huang,0.8,1,salon-047,,oo after this so thank you for your presentation looks like susan has her hand raised so Susan Detroy i have at it thank you okay
2,Michael peer,Michael Rees,0.83,1,salon-063,, [Music] program and just the other day I was speaking with Michael peer price and he mentioned how the word nft has in a way become
2,Robert trips,Robert A. Ripps,0.81,1,salon-065,,nd to remind the people on social media I think his name is Robert trips and he always ends his comments with you know peace in Ukra
2,Andy that,Andy Thomas,0.8,1,salon-067,,t celebrate they said oh that's wonderful we agree with you Andy that looks great but Disney on the other hand attacked every sin
2,Colleen Goldberg,Colin Goldberg,0.87,1,salon-077,,"Hello! My name is Colleen Goldberg, and I am here. At the seventy-seventh rush and salon"
2,Frank Chillette,Frank Gillette,0.9,1,salon-077,,"e in the nineties. Her husband is also very storied artist, Frank Chillette, who worked with Martian clue, and is one of the people tha"
2,"smaller,",Steve Miller,0.63,1,salon-077,,"and and, you know, make a smaller, a slightly smaller image. So it doesn't exceed"
2,"Cynthia, Beth Ruben",Cynthia Beth Rubin,0.92,1,salon-077,,"ntially, just for this one week. Co-OP the the Co. Working. Cynthia, Beth Ruben."
2,she gave,Sherry Karver,0.67,1,salon-078,,You're the nurse who always sang when she gave you an injection bent to my eye level and said. Can you do 
2,see Karen,Sherry Karver,0.64,1,salon-078,,"Yeah, I have. II see. I see Karen at the end of it just real quick, because I actually have b"
2,Frank Chillett,Frank Gillette,0.86,1,salon-078,,ce the South and show. I think the last one might have been Frank Chillett.
2,like any,Lee Day,0.67,1,salon-079,,fe. And I don't know if carrying wants to hop in here looks like any of the construction is done. I don't wanna take time away f
2,"Cynthia, Beth Reuben",Cynthia Beth Rubin,0.89,1,salon-080,,"Thank you very much. We have Cynthia, Beth Reuben next, and then Ross has her hand up after Cynthia."
2,Lee Schneider,Lee Schnaiberg,0.81,1,salon-081,,Lee Schneider is actually
2,Roman Verasco,Roman Verostko,0.81,1,salon-083,,"t in the context of this group, particularly by the name of Roman Verasco."
2,"Cynthia Bath, Rubin",Cynthia Beth Rubin,0.92,1,salon-083,,"Co. Working is influential. Since Cynthia Bath, Rubin suggested that I use"
2,Tommy Mince,Tommy Mintz,0.82,1,salon-083,,"ion. Which is gonna be happening in August. It's curated by Tommy Mince, who's been involved with the text presents community for s"
2,Tommy Mints,Tommy Mintz,0.91,1,salon-083,,"the curator is Tommy Mints, MINT z."
2,Sam Rusavi,Sahar Moussavi,0.67,1,salon-085,,"So Hi, everyone, I'm Sam Rusavi."
2,Michael Pierre Bryce,Michael Pierre Price,0.9,1,salon-085,,I think Michael has a question. Michael Pierre Bryce.
2,maliva Mandall and,Malavika Mandal Andrew,0.8,1,salon-086,,was living through I think in k tell me if I'm wrong please maliva Mandall and Brandon gellis have these lovely interpretations of Nature 
2,Lee schneberg,Lee Schnaiberg,0.89,1,salon-086,, print and painting on digital print on canvas here next to Lee schneberg and his digital photographic glitching with his iPhone brus
2,Michael Pier,Michael Pointer,0.89,1,salon-086,,rats to you all thank you thanks so I'm going to move on to Michael Pier price coming to us from Phoenix Arizona where it's extremel
2,Carrie Ann Shimsham,cari ann shim sham*,0.89,1,salon-087,,Carrie Ann Shimsham and Joey Zaza
2,Adrian Wartzel,Adrianne Wortzel,0.87,1,salon-087,,cari ann shim sham**: Night swatch by Adrian Wartzel.
2,Annette Wingtrub,Annette Weintraub,0.91,1,salon-087,,"im sham**: Ghosted artifacts, zigzags, twists, and turns by Annette Wingtrub."
2,Sherry Carter,Sherry Karver,0.85,1,salon-087,,cari ann shim sham**: Thank you. Sherry Carter. Thank you. Sherry. Wonderful series.
2,"Karen, Lefleur",Karen LaFleur,0.89,1,salon-087,,"cari ann shim sham**: Karen, Lefleur, Fanwaves."
2,Cynthia Beth Ribbon,Cynthia Beth Rubin,0.86,1,salon-087,,"cari ann shim sham**: our other Cynthia, Cynthia Beth Ribbon."
2,"Carrie, Ann",Carrie MaKenna,0.8,1,salon-087,,"rom the 23 pieces in the book by the exhibition's curators, Carrie, Ann and Joey."
2,Adelfina Perino,Adelfino Corino,0.8,1,salon-087,,cari ann shim sham**: Adelfina Perino.
2,Galina Schveenko,Galina Shevchenko,0.85,1,salon-087,,"cari ann shim sham**: bye, Galina Schveenko! Hi!"
2,"Renata, Yanaszewska",Renata Janiszewska,0.86,1,salon-088,,"e up with ideas for that. The December salon is going to be Renata, Yanaszewska, and Karen Lafleur introducing Mariniana, which is their ex"
2,"Renata, Yanashewska",Renata Janiszewska,0.81,1,salon-092,,"hey hosted an exhibition of 2 Techspressionist artists work Renata, Yanashewska, and Karen Lafleur. So this next salon is going to be takin"
2,Carrie Ann Shimshan,cari ann shim sham*,0.84,1,salon-096,,"uggestion of not only Joey Zaza, but his collaboration with Carrie Ann Shimshan as a close, close collaborator in that coding"
2,Eva Davide,Eva Davidova,0.82,1,salon-099,,", and Cassandra with Washington at Union Square, created by Eva Davide Dover and Sharon Enlam."
2,and human,Anne Wichmann,0.64,1,salon-099,,"y put, I say the role of the body, the senses, and emotion, and human perception, social change."
2,Carolyn Jones,Colman Jones,0.8,1,salon-099,,"at the same speed of technological innovation, as Carolyn Jones notes here, is by actually taking up these technologies in "
2,Heidi's point,Heidi Boisvert,0.67,1,salon-099,,"the finest weapons. Weapons, if they are that, to speak to Heidi's point, there's so many different ways we can communicate, all cha"
2,strive,ST Rivera,0.8,1,salon-101,,"This… all this drawing by hand is something that I really strive to retain in much of my artwork, whether I'm… it doesn't ma"
2,to point,Tommy Mintz,0.63,1,salon-101,," and this one as well, here on the right. And I'd also like to point out the color palette in this painting is very soft."
2,Karen Leflour,Karen LaFleur,0.85,1,salon-101,,"Aaron Koh, to Karen Leflour, and to Renata Janiszewska for ongoing, Zoom meetings that "
2,Heidi Boir,Heidi Boisvert,0.83,1,salon-102,,"So, our moderator today is Heidi Boir, who is an interdisciplinary artist, experienced designer, "
2,and Toma,Andy Thomas,0.84,1,salon-102,,"Her work is represented in Spelter Digital Art Collection and Toma Foundation, and she has been featured on Science Friday. He"
2,David von,David Cohen,0.8,1,salon-102,,"Recorded as a specimen collected by Louis David von Schweinitz in Bethlehem, Pennsylvania, in pools and streams"
2,"Richard,",Richard E,0.88,1,salon-102,,"I had an idea for a project, and I reached out to Richard, and my idea was I wanted to create an AI entity that was ba"
2,Cynthia Bess Rubin,Cynthia Beth Rubin,0.89,1,salon-102,,"an't say enough. I would also mention that Karen Leflur and Cynthia Bess Rubin are also working on science and art projects, and I know wh"
2,Karen Leflur,Karen LaFleur,0.88,1,salon-102,,"So, I can't say enough. I would also mention that Karen Leflur and Cynthia Bess Rubin are also working on science and art "
2,so having,Sue Huang,0.67,1,salon-102,,"said, they can connect dots that sometimes you're blind to, so having those collaborations, conversations, and interactions with "
2,Colin Gold,Colin Goldberg,0.83,1,salon-104,,"ere we go, okay. So this is just a title slide, but this is Colin Gold. Colin, did you want to say a few words about your work her"
2,Anna Merch,Anna Hamer,0.8,1,salon-104,,"So I know Anna Merch from Skydance, that big installation at Denver Airport. And"
2,Steven Carpenter,Stephen Carpenter,0.91,1,salon-104,,I think Steven Carpenter was first?
2,Tasneem Bashir,Tassneen Bashir,0.9,1,salon-105,,"Tasneem Bashir is a game designer, educator, and visual artist that is ded"
2,Erin know,Erin Ko,0.88,1,salon-105,," be added to the Artist Index, just let myself or Renata or Erin know, and I'm happy to add you. So, many thanks for your partici"
2,leap into,Leila Pinto,0.8,1,salon-108,,"And our work is an exploration and investigation and a leap into the present and the future, and the very nature of what art"
2,reel here,Reed Hearne,0.8,1,salon-108,,"I won't be showing the reel here, but it was really great to have it at in this Lacta exhibi"
2,and Yohyun,Andy Young,0.8,1,salon-108,,and Yohyun Ahn.
2,Adrianne,Adrianne Wortzel,0.67,1,salon-109,,"ll, I also wanted to say I really enjoyed, it's nice to see Adrianne here. I enjoyed her presentation very much, and the inventi"
2,being an artist,Beau Tardy Artist,0.69,1,salon-109,,"But, being an artist, I found a way to make it do artwork."
2,tour well,Tor Burwell,0.8,1,interview-004,,go on the computer [Music] i have to go i'm just giving the tour well i'm just giving the people a little tour you're gonna end t
2,Ariel Robbins,Ariel Baron-Robbins,0.81,1,interview-027,,"the Loop Art Critique, which is Ariel Robbins, and also the mud foundation"
2,coming over,Colin Goldberg,0.64,1,interview-027,,"So my family was coming over here in the 16 hundreds, and started in Salem"
2,Renati Anaszewska,Renata Janiszewska,0.86,1,interview-027,,"a piece by Renati Anaszewska or Tommy Mintz. Even if I've never seen it before, Lee day "
2,leslie,Leslie Kell,0.71,1,salon-009,,er i believe is going to be. Where are you.  I just saw you leslie i believe you were the next supposed to be the next present
2,carmen,Carmen Moses,0.67,1,salon-009,,No i think everyone just kind of showed up so i mean i know carmen was here early carmen if you want to go by all means [Music
2,like well,Leslie Kell,0.7,1,salon-009,, so i kind of you know spent a lot of time in bed it's just like well you know i still want to create so i actually started doing
2,brandon,Brandon Gellis,0.67,1,salon-010,, world i could think about that or you know.  Who said that brandon hi well then maybe you should be my collaborator. All right
2,some smaller,Steve Miller,0.67,1,salon-011,,y're 21 inches long. And i think they're 19 by 21. i i have some smaller scale ones that are 12 by 21.. I basically decided to work 
2,michael reese michael,Michael Pierre Price,0.68,1,salon-012,,el reese yeah and.  [Music] carter carter sorry. But carter michael reese michael price colin and randy so those are going to be our five pre
2,colin's going,Colin Goldberg,0.67,1,salon-012,, chat i'm going to be here for a bit after. I don't know if colin's going to be here for a bit after too or if he has to go but i'll 
2,gary thanks,Gary Hopkins,0.7,1,salon-016,,ome more work cause filling me up son but always a pleasure gary thanks thank you. Gary i really like the. Seeing the evolution of 
2,michael,Michael Pointer,0.64,1,salon-017,,the last question for michael is coming from clive. Yeah hi michael i really love your work great thanks hi. Back [Laughter]. T
2,ulya app,Uli Ap,0.71,1,salon-018,,ive editor of origin magazine. And then our other artist is ulya app hailing out of the uk she is a trans transdisciplinary arti
2,uli,Uli Ap,0.67,1,salon-018,,en. Okay and i guess we'll take two more questions and then uli can definitely get on with our presentation so i know she's
2,christine,Christine Sciulli,0.69,1,salon-020,,it but she jumped into a show that i did and she said to me christine i want you to do a video installation for my next show and 
2,carl ramonde,Carolina Ramonde,0.86,1,salon-025,, wilson who's in la she did the primary bulk of it but also carl ramonde also was a consultant for me and i appreciate her work and 
2,love,LoVid,0.67,1,salon-032,, i tend to look at it and it reminds me. Of this feeling of love and happiness.  And the second piece when i started in 2017
2,david chung,David Cohen,0.82,1,salon-033,,hellers who's the director of the detroit institute of arts david chung who is the director of the university of michigan's master 
2,seongjin,SEUNGJIN LEE,0.7,1,salon-036,, with things if everyone's ready to go our presenters ready seongjin and. Oh god dalton.  You ready to go and we'll kick things 
2,Cynthia Beth rubben,Cynthia Beth Rubin,0.92,1,salon-043,, way to proceed so first we have an.  Soel great to see you Cynthia Beth rubben all right Vern. Lights Karen. Lefur r.  Janusa Darcy garbag
2,Darcy garbage,Darcy Gerbarg,0.85,1,salon-043,, Beth rubben all right Vern. Lights Karen. Lefur r.  Janusa Darcy garbage nein. Estaban Neen I should know that. Giovana Alias dubom 
2,giovana u,Giovanna Sun,0.86,1,salon-043,,I hope that's all right because we've got thank you so much giovana u d welcome your fresh perspective and I like like what you s
2,michael reese.org,Michael Rees,0.83,1,salon-045,,ck it through the website you can go to my website which is michael reese.org reese's r-e-e-s dot o-r-g and tomorrow afternoon at 2 p.m e
2,two into,Tommy Mintz,0.63,1,salon-056,, couched in the time of when I first started like a year or two into the series of portrait of women and. This is work that I wa
2,can hold,Chanee Choi,0.63,1,salon-059,,em because we need to be able to know what's going on so we can hold them accountable and I think that we should be vocal and bu
2,solo,ScoJo,0.67,1,salon-059,,ve had an avatar that I've been working with we've done two solo shows together we've done multiple she has her own Zoom acc
2,can copy,Chanee Choi,0.63,1,salon-059,, a lot of struggles and worried about the point how much AI can copy their work so I I couldn't just avoid their idea because th
2,Michael,Michael Warner,0.67,1,salon-061,,ute myself thank you and if you've had anyone that's shared Michael if you could if you're able to lower your hand also that wo
2,mayor Shapiro,Marlow Shami,0.64,1,salon-063,, important essay and this is what I wanted to talk about by mayor Shapiro in the effort to apply semiotics and the idea of of signs a
2,Michael refined,Michael Rees,0.81,1,salon-063,, that pervade the natural world he came up with over 80 and Michael refined that list to 53.. A lot of these senses are things that we 
2,and Sahar,Ann Shapiro,0.7,1,salon-072,,ut further Ado I'd like to pass the stage to Sahar Moussavi and Sahar welcome and take it away I.
2,an air,Ann Shapiro,0.71,1,salon-072,,isasters but environmental catastrophes as well such as see an air pollution.  Deforestation. Desert. Desertification. And. Wa
2,screen share,Stephen Pare,0.67,1,salon-072,,age please yes I'm gonna lower my hand hi I'm going to do a screen share.  Are you seeing my yeah okay. So I'm. Okay.  Here we go I'
2,a paper,Anne Spalter,0.63,1,interview-002,,of going to some kind of college where i never had to write a paper ever again seemed just absolutely fantastic to me and that'
2,and water,Anne Spalter,0.67,1,interview-002,,ng for decades so these things like lighthouses and spheres and water and airplanes. So they have this sort of symbolic personal 
2,and scale,Anne Spalter,0.67,1,interview-002,,lity the ability to undo things and save different versions and scale things so many things that now we take for granted using th
2,a super,Anne Spalter,0.63,1,interview-002,,lly interesting to see so. Yeah that's that's really that's a super rare and then another site called viv 3 the iv3.com. Is tha
2,brown lines,Brandon Gellis,0.64,1,interview-010,,s of people were taken and were. Murdered and so all of the brown lines on here are houses that were taken and all of these open sp
2,carl aganis,Carla Gannis,0.87,1,interview-011,,ppenheimer tamiko thiel gardens of the anthropocene and and carl aganis did a comedy routine with the inflatable boy that was very 
2,and show,Ann Shapiro,0.63,1,presentation-001,," So, I'm going to take a picture actually that I've grabbed and show you the kind of work that I might do with it. So, this glit"
2,Cynthia well learning,Cynthia Beth Rubin,0.67,1,roundtable-003,,hat that that's really that's that's so cool to.  Hear yeah Cynthia well learning about different kinds of graphing we just think oh you grap
2,see later,Steve Miller,0.67,1,roundtable-004,,edical checkup by x-ray in the Flora and Fauna which you'll see later so one of the you know what happens in this you know leveli
2,depiction,Discussion,0.63,2,presentation-002;presentation-007,,all folk art. And I hope that you find it to be an accurate depiction of the textiles and people of your culture. And here you ca
2,the organ,Trey Morgan,0.8,1,interview-004,,I am able to use his percussion and the left-hand half of the organ manual in his version.
1,disruption,Discussion,0.7,1,presentation-001,,e particularly a technique called glitching. glitching is a disruption of an image. So I start with photographs. I use photographs
1,a happier,Ann Shapiro,0.7,1,presentation-001,,We all work differently. That's that's what makes the world a happier place when it can be. Yeah. So any more questions? I'm curi
1,direction,Discussion,0.63,1,presentation-003,," off. Well, and It changes one's life or you know creates a direction for one's life. Yeah. I was you know going going a slightly"
1,distinction,Discussion,0.67,1,presentation-004,,", maybe techspressionist in spirit, you know, but there's a distinction there.  And I think a big reason that I came up with this t"
1,Cynthia's point,Cynthia DiDonato,0.71,1,presentation-004,,ne of the earliest to do a website. I did early HTML and to Cynthia's point like you can't do everything. So now I work with a young co
1,Clive told,Clive Holden,0.82,1,salon-073,,"was muted on that. So it's really big, right? And actually, Clive told me that he drove a bus, you know, and this is the length of"
1,to dominate,Tommy Mintz,0.64,1,salon-073,,"We don't want to dominate this, have discussion dominate."
